type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,ACTIVE LOG,40.78966141,-77.85948515,4627251.76270444,1779451.21349775,True,False,255,358.228393554688,0,0,2008/06/11-14:08:30,eTrex Venture, ,2008/06/11 09:08:30
TRACK,ACTIVE LOG,40.78963995,-77.85954952,4627248.40489401,1779446.18060893,False,False,255,358.228393554688,0,0,2008/06/11-14:09:43,eTrex Venture, ,2008/06/11 09:09:43
TRACK,ACTIVE LOG,40.78961849,-77.85957098,4627245.69008772,1779444.78476531,False,False,255,357.747802734375,0,0,2008/06/11-14:09:44,eTrex Venture, ,2008/06/11 09:09:44
TRACK,ACTIVE LOG,40.78953266,-77.85965681,4627234.83213242,1779439.20202706,False,False,255,353.421875,0,0,2008/06/11-14:10:18,eTrex Venture, ,2008/06/11 09:10:18
TRACK,ACTIVE LOG,40.78957558,-77.85972118,4627238.65402635,1779432.89982442,False,False,255,356.786376953125,0,0,2008/06/11-14:11:57,eTrex Venture, ,2008/06/11 09:11:57
TRACK,ACTIVE LOG,40.78968287,-77.85976410,4627249.97592111,1779427.14663093,False,False,255,354.383178710938,0,0,2008/06/11-14:12:18,eTrex Venture, ,2008/06/11 09:12:18
TRACK,ACTIVE LOG,40.78979015,-77.85961390,4627264.19055204,1779437.76243578,False,False,255,351.499145507813,0,0,2008/06/11-14:12:50,eTrex Venture, ,2008/06/11 09:12:50
TRACK,ACTIVE LOG,40.78983307,-77.85961390,4627268.97701256,1779436.91622722,False,False,255,357.747802734375,0,0,2008/06/11-14:14:24,eTrex Venture, ,2008/06/11 09:14:24
TRACK,ACTIVE LOG,40.78987598,-77.85950661,4627275.37008691,1779445.16407113,False,False,255,360.151123046875,0,0,2008/06/11-14:14:35,eTrex Venture, ,2008/06/11 09:14:35
TRACK,ACTIVE LOG,40.79101324,-77.85967827,4627399.62551803,1779408.19190874,True,False,255,346.692626953125,0,0,2008/06/11-14:20:42,eTrex Venture, ,2008/06/11 09:20:42
TRACK,ACTIVE LOG,40.79101324,-77.85965681,4627399.9470929,1779410.01081578,False,False,255,346.692626953125,0,0,2008/06/11-14:21:16,eTrex Venture, ,2008/06/11 09:21:16
TRACK,ACTIVE LOG,40.79118490,-77.85987139,4627415.87524858,1779388.43897893,False,False,255,347.173217773438,0,0,2008/06/11-14:21:47,eTrex Venture, ,2008/06/11 09:21:47
TRACK,ACTIVE LOG,40.79133511,-77.86006451,4627429.7329001,1779369.10903715,False,False,255,347.653930664063,0,0,2008/06/11-14:22:05,eTrex Venture, ,2008/06/11 09:22:05
